trip_id_Count,bikeid,tripduration_Sum,Record_Count
721,3873,675611,721
377,1711,324685,377
680,5516,648574,680
869,189,762624,869
674,3978,608878,674
750,3885,715844,750
734,1254,722526,734
892,4983,908832,892
596,4183,610664,596
847,3216,753853,847
1017,5766,958948,1017
822,931,784216,822
1019,5325,1008862,1019
772,883,766591,772
650,4445,644926,650
292,546,280540,292
309,3544,331338,309
826,3803,752810,826
558,4401,420650,558
437,231,391115,437
368,2701,345896,368
764,1463,749728,764
452,3417,448718,452
583,571,556077,583
689,1995,611913,689
738,5600,690352,738
542,5606,480241,542
796,1162,836830,796
760,944,798150,760
606,1299,543246,606
635,3366,585561,635
615,2810,591748,615
1005,5341,894683,1005
748,4535,783571,748
706,3352,711515,706
726,1585,711258,726
752,5734,714526,752
783,4136,711523,783
601,4515,607405,601
695,1616,627764,695
784,5020,780308,784
580,1486,521160,580
487,2654,560248,487
369,2362,403717,369
594,1316,586669,594
815,1346,766010,815
662,5592,662701,662
758,5631,699705,758
1008,5795,950627,1008
732,553,617875,732
679,3718,689197,679
738,2088,701186,738
637,2826,689947,637
773,2889,766100,773
881,4776,801152,881
91,798,107373,91
950,4336,948377,950
389,286,294841,389
1041,5331,948469,1041
484,745,430276,484
184,459,132091,184
777,5692,688346,777
722,3942,767925,722
297,389,271269,297
946,4967,873009,946
832,2786,846099,832
229,4060,148336,229
544,3543,532150,544
815,5495,770440,815
861,4694,789508,861
575,3120,498156,575
724,2159,675623,724
927,4480,896831,927
942,5780,949935,942
724,3444,854661,724
601,4119,622605,601
909,5425,861928,909
912,5028,896450,912
916,5070,814461,916
606,2797,545906,606
648,204,585568,648
651,302,627695,651
624,4457,652663,624
1023,4518,972534,1023
765,5817,810741,765
603,4141,588632,603
1039,5160,947683,1039
874,5688,855278,874
762,3742,769392,762
882,5762,774749,882
868,4529,882987,868
561,4660,503569,561
915,4678,837490,915
790,5754,733476,790
680,5006,645264,680
527,2336,520060,527
306,4400,259616,306
784,265,822530,784
541,2924,468894,541
573,2742,609003,573
735,2633,753543,735
548,1998,618574,548
170,838,133499,170
637,44,580794,637
859,5894,812661,859
923,3568,862685,923
404,2614,319736,404
397,2413,420845,397
500,4558,452324,500
601,3564,604200,601
615,3574,583421,615
540,2513,510653,540
998,5354,905212,998
227,1210,175898,227
465,1300,400296,465
695,4186,732675,695
846,5594,951544,846
789,4907,772947,789
818,4567,720729,818
771,4330,662880,771
120,1971,91134,120
790,3632,693475,790
699,5832,674642,699
868,3411,755819,868
684,4289,586540,684
658,667,607706,658
869,1822,827373,869
901,5519,955802,901
489,2723,458089,489
616,3169,577809,616
636,5151,599301,636
765,3093,736867,765
529,2777,548395,529
658,1432,690110,658
788,5169,761677,788
888,5374,867542,888
975,3791,879384,975
734,3102,660654,734
304,821,311916,304
961,4892,923359,961
595,3406,683585,595
806,2898,686260,806
572,370,544155,572
663,3782,599729,663
739,5549,734987,739
680,2529,592751,680
609,957,454875,609
662,2417,631792,662
451,1671,389061,451
810,902,844751,810
760,3595,746331,760
989,640,941210,989
642,2819,590760,642
1073,3603,1030517,1073
887,3796,824561,887
692,4693,605370,692
911,5205,884567,911
608,99,637838,608
720,541,754218,720
884,3286,850252,884
598,1212,644463,598
688,4656,618974,688
622,1147,629696,622
258,600,235385,258
658,3303,739999,658
718,717,675353,718
811,2396,756266,811
809,4649,710143,809
568,3122,600948,568
474,4996,446137,474
641,5022,644049,641
549,5033,449572,549
704,134,610181,704
633,4256,623811,633
844,1844,740658,844
621,945,538282,621
237,3986,223769,237
697,2048,590786,697
505,357,539303,505
1000,4994,943761,1000
598,203,544054,598
816,3275,745579,816
852,296,825663,852
705,5077,603202,705
823,2728,896667,823
996,5838,1049715,996
402,5157,469321,402
539,1355,582784,539
1030,5672,928244,1030
566,376,517521,566
581,3098,537033,581
625,876,576677,625
871,4391,796722,871
349,1956,339120,349
828,691,941826,828
381,3461,325266,381
290,5778,234713,290
852,3294,839266,852
838,3423,841245,838
664,4985,635335,664
721,711,708058,721
654,5385,614170,654
466,952,426013,466
691,3083,645579,691
573,359,650614,573
843,5818,784991,843
683,3565,617663,683
500,489,457663,500
333,615,255541,333
261,2706,235045,261
827,354,879383,827
891,871,820488,891
512,41,509492,512
424,1923,386948,424
647,3585,519744,647
563,2942,639999,563
564,2157,567302,564
638,2832,692041,638
183,4420,179088,183
664,4648,698896,664
551,554,531170,551
673,5879,626696,673
732,2050,689729,732
728,1468,579388,728
574,582,542828,574
590,1684,597767,590
800,1602,721975,800
789,3758,707794,789
678,4092,704870,678
649,694,617360,649
782,5510,744144,782
704,3845,699318,704
544,981,563876,544
536,3511,451648,536
596,2456,543311,596
836,3877,824042,836
297,4358,270368,297
613,5416,575334,613
451,2489,396818,451
810,4720,806515,810
756,4159,675277,756
440,1741,457914,440
814,122,794973,814
990,5640,962657,990
610,417,600563,610
817,819,808841,817
652,1043,572472,652
647,633,610742,647
432,4165,437913,432
570,4055,467514,570
878,2843,739120,878
738,1694,675536,738
717,88,696376,717
703,4948,654637,703
580,4078,566702,580
229,725,178896,229
918,3441,856510,918
656,3150,645999,656
743,2067,697484,743
914,1186,750068,914
787,3715,846356,787
222,968,186292,222
178,3954,151300,178
670,3273,607304,670
558,812,561321,558
544,1305,534637,544
743,5505,735717,743
781,1839,675449,781
551,2582,613624,551
813,1457,789274,813
523,3752,518973,523
1138,2438,952916,1138
790,5187,813994,790
968,5195,878950,968
951,4884,867143,951
657,4897,616553,657
721,2626,819856,721
975,5846,886619,975
567,3415,580391,567
548,3222,579529,548
161,2811,226231,161
594,4368,515507,594
1000,4652,940751,1000
498,418,507243,498
757,3212,663827,757
810,5678,746366,810
521,349,455782,521
843,3248,807514,843
967,5625,1028860,967
807,4133,733801,807
321,311,284417,321
701,3405,642856,701
741,4423,722556,741
707,4984,713681,707
941,5451,973639,941
756,5521,668382,756
479,2057,400609,479
709,586,627622,709
929,743,837056,929
841,5311,886960,841
329,415,245631,329
824,4677,778359,824
864,5280,810123,864
617,1606,642676,617
824,4284,778853,824
753,3514,688214,753
967,1537,911217,967
1075,5235,1001089,1075
407,3354,397156,407
656,840,594159,656
578,474,615847,578
807,4122,823804,807
536,4479,435184,536
871,5368,876760,871
419,4929,403174,419
695,3864,674303,695
571,206,490178,571
831,5346,769566,831
991,4940,987866,991
740,1148,663730,740
948,5730,944093,948
580,1246,572207,580
896,4470,893315,896
321,3880,269307,321
408,5487,381563,408
865,836,887351,865
841,3826,795194,841
699,3773,730028,699
756,1643,720825,756
844,3052,756806,844
484,3911,451127,484
792,3582,675974,792
732,1100,707911,732
412,5104,424583,412
825,5446,742123,825
697,1348,706015,697
220,84,210875,220
203,2658,183643,203
806,2846,902136,806
714,855,737111,714
703,1717,621711,703
626,4037,608842,626
451,4704,397856,451
978,3328,832835,978
545,2506,536164,545
789,5737,750851,789
354,1704,289707,354
600,3713,505053,600
788,4436,757014,788
642,2989,639234,642
454,2308,448800,454
603,936,665455,603
277,4986,191441,277
632,5173,638474,632
277,699,220845,277
960,5718,960993,960
479,5863,466322,479
452,3809,487475,452
996,5883,1035381,996
781,1065,730413,781
690,1624,614779,690
371,5653,300087,371
1123,5378,1074507,1123
456,5462,442918,456
399,2033,366121,399
821,5862,750089,821
684,193,614878,684
656,2829,711423,656
879,5917,913655,879
823,5259,754941,823
314,5296,268740,314
608,5819,561125,608
570,4168,584436,570
390,2220,395056,390
939,3774,942177,939
480,619,467686,480
812,5744,817371,812
774,2233,822224,774
593,5074,526220,593
902,5308,856771,902
631,1209,657717,631
350,2237,301318,350
153,2600,130531,153
746,4347,737970,746
895,1762,809156,895
880,4642,767350,880
802,4038,734647,802
969,5570,991897,969
457,2474,366042,457
674,1441,649358,674
602,5313,545008,602
613,188,581571,613
646,2052,665697,646
535,412,478752,535
495,400,451644,495
592,1220,561695,592
726,5323,714295,726
964,5056,974655,964
387,3598,389176,387
873,5273,787886,873
760,3455,736638,760
668,1548,643666,668
548,3263,439887,548
654,1408,587507,654
624,1268,537811,624
310,236,260965,310
893,256,880022,893
640,1345,513669,640
842,4746,829683,842
791,3698,727455,791
154,3152,121695,154
747,2612,728582,747
398,4540,308399,398
883,2691,821358,883
593,5472,583731,593
650,4681,579188,650
768,2946,766478,768
679,154,677825,679
524,2072,487636,524
916,5909,871429,916
857,4444,788033,857
610,2026,550678,610
311,1427,436239,311
601,3721,513058,601
213,844,164368,213
974,3670,904236,974
837,2266,870808,837
588,1398,547632,588
749,4196,687370,749
818,3259,831655,818
924,1161,961007,924
306,4281,235945,306
526,3480,485988,526
536,213,554819,536
657,2577,614674,657
414,884,409960,414
554,2629,480060,554
308,1236,246335,308
300,1068,232840,300
708,2447,741617,708
785,2150,705291,785
791,3829,723829,791
654,1143,625976,654
467,1650,425269,467
713,1675,667459,713
632,1646,643204,632
822,861,795972,822
276,2215,241939,276
957,4899,914089,957
715,2823,665190,715
725,2079,690362,725
422,3234,336889,422
916,3724,873035,916
459,3895,419219,459
874,5488,812797,874
49,1634,37200,49
860,4462,823684,860
691,280,690395,691
588,5893,621274,588
276,4464,194251,276
1141,5482,1045405,1141
170,4390,135195,170
664,1437,642560,664
743,4224,740033,743
651,648,729282,651
832,3036,848832,832
826,5019,775338,826
107,2297,89905,107
427,2455,451270,427
590,1,567386,590
713,2099,723301,713
577,1232,628136,577
554,866,508464,554
584,4991,535617,584
827,5535,906504,827
481,5078,499909,481
913,5282,788844,913
431,1288,360473,431
397,102,385079,397
856,5413,771369,856
715,3786,630351,715
720,3548,646021,720
550,1850,619805,550
755,5813,815517,755
707,2500,688487,707
571,5822,520291,571
371,63,405466,371
738,4398,702118,738
964,5684,1007244,964
715,1433,634925,715
788,4096,764252,788
370,5742,313917,370
464,1904,408000,464
878,3618,851977,878
876,3898,752285,876
674,1503,722163,674
1041,4987,981438,1041
789,5774,754838,789
615,2360,556465,615
547,4830,561992,547
358,2016,285189,358
695,805,691843,695
798,5389,723435,798
856,4605,704343,856
840,4577,719446,840
781,3545,652825,781
873,4753,933772,873
810,2778,802114,810
843,980,793253,843
1047,1445,984714,1047
395,843,335975,395
257,481,199244,257
794,1082,725017,794
859,4675,852182,859
759,516,753635,759
1007,5295,858886,1007
860,4752,899801,860
427,590,406617,427
748,3604,696068,748
781,166,707220,781
725,4784,648575,725
946,3165,964078,946
503,723,476418,503
473,4760,423295,473
307,2737,281442,307
869,5018,855224,869
609,2143,588636,609
666,128,686007,666
852,3685,769574,852
472,2144,498616,472
466,780,511245,466
840,4349,768151,840
877,4995,838783,877
727,1803,685995,727
283,2939,240435,283
624,1893,696161,624
685,3711,718108,685
606,2327,569983,606
735,136,736153,735
724,3955,642009,724
771,3968,666846,771
834,5045,899727,834
759,754,829663,759
503,1285,497433,503
509,2206,486852,509
682,5473,648097,682
337,3256,312044,337
514,2170,460101,514
800,1908,755978,800
569,2734,625282,569
559,2975,530024,559
103,104,89853,103
874,4176,803594,874
593,927,557956,593
921,4917,812715,921
802,5319,764431,802
448,1039,386683,448
649,3284,616382,649
823,4696,750687,823
541,442,558311,541
604,959,529388,604
973,3567,951044,973
189,1036,134677,189
199,4430,161369,199
797,3806,816157,797
719,1417,661609,719
701,91,698038,701
946,547,826901,946
878,3353,785492,878
999,5674,979124,999
995,4353,921925,995
611,1004,573449,611
791,2933,780304,791
742,3199,633265,742
631,2555,526278,631
446,2714,406525,446
684,4268,676832,684
570,1129,563955,570
352,778,318112,352
653,3368,700474,653
725,2759,703976,725
885,5119,828336,885
150,2468,117391,150
776,4230,747417,776
846,4838,793575,846
338,3871,280632,338
869,2507,834104,869
782,5344,814784,782
802,4716,760544,802
826,5347,786161,826
761,5406,748193,761
672,4512,634048,672
890,4960,829489,890
853,3688,728848,853
718,4674,643740,718
765,4618,673036,765
244,5481,153699,244
919,5132,795672,919
233,2947,184642,233
494,31,490218,494
818,2334,750342,818
853,5027,798215,853
431,2356,407482,431
585,375,613448,585
745,4890,777350,745
633,841,620243,633
679,5029,664346,679
425,2007,377046,425
697,5491,703750,697
798,1730,694595,798
613,9,539204,613
257,1823,210883,257
701,1817,710347,701
793,4872,725822,793
640,599,588077,640
449,1699,383841,449
287,1941,225711,287
552,5050,493852,552
744,2127,774701,744
821,3148,740255,821
666,3531,698190,666
597,607,622764,597
352,2189,384826,352
1060,5741,1069773,1060
319,1965,291078,319
807,3459,814891,807
813,4501,767772,813
432,3810,393262,432
818,5423,750652,818
831,4001,814443,831
770,1853,832079,770
347,3843,305090,347
589,2042,557729,589
57,5269,63322,57
504,3335,431335,504
1020,5906,960514,1020
591,2697,507674,591
643,4862,535017,643
661,58,564426,661
536,2752,430552,536
238,3153,162330,238
571,3990,671638,571
684,4553,609947,684
701,1492,698100,701
1012,5873,1096197,1012
243,1262,221820,243
567,2923,582035,567
571,2284,504858,571
655,1120,715159,655
670,643,588698,670
314,869,233430,314
960,4672,872975,960
767,1202,678906,767
707,4595,693227,707
499,647,418530,499
657,2329,737878,657
764,4453,775140,764
942,5499,918596,942
545,243,570099,545
290,947,204734,290
667,4549,613009,667
640,589,605657,640
724,1369,717729,724
745,5602,671064,745
725,207,705858,725
942,5605,888937,942
806,4131,821279,806
752,1831,701183,752
640,1871,650609,640
987,3386,886395,987
529,2346,625709,529
636,2920,646179,636
903,3159,773503,903
117,864,92039,117
